State,Area,Store Name,Rating,Review Count
Johor,Segamat,KFC Segamat,4.0,"(1,019)"
Johor,Segamat,KFC Segamat DT,3.9,(872)
Johor,Segamat,KFC One Segamat,3.8,(153)
Johor,Sekijang,KFC Seri Gelam DT,3.9,"(1,913)"
Johor,Sekijang,KFC Stulang Laut,4.1,"(3,205)"
Johor,Sekijang,KFC Segamat,4.0,"(1,019)"
Johor,Sekijang,KFC Segamat DT,3.9,(872)
Johor,Sekijang,KFC Puteri Wangsa DT,4.0,"(1,514)"
Johor,Sekijang,KFC JB Sentral,2.6,(257)
Johor,Sekijang,KFC Seri Alam DT,3.7,"(1,383)"
Johor,Sekijang,KFC Mutiara Rini DT,3.7,"(1,692)"
Johor,Sekijang,KFC AEON Kulaijaya,3.2,(324)
Johor,Sekijang,KFC Kulai,3.8,(615)
Johor,Labis,KFC Labis,3.9,(565)
Johor,Pagoh,KFC RSA Pagoh,4.0,(734)
Johor,Pagoh,KFC Bandar Universiti Pagoh DT,4.1,(298)
Johor,Ledang,KFC Tangkak,3.9,(816)
Johor,Bakri,KFC Muar 1,3.8,(622)
Johor,Bakri,KFC Pekan Bukit Pasir Muar,4.0,(696)
Johor,Bakri,KFC Muar 2,3.9,(825)
Johor,Bakri,KFC K Mart Muar,4.1,(469)
Johor,Bakri,KFC NSK Muar,3.6,(251)
Johor,Bakri,KFC Bandar Universiti Pagoh DT,4.1,(298)
Johor,Bakri,KFC Bukit Gambir,4.1,(645)
Johor,Bakri,KFC RSA Pagoh,4.0,(734)
Johor,Bakri,KFC Tangkak,3.9,(816)
Johor,Bakri,KFC Parit Sulong,3.9,(303)
Johor,Muar,KFC Muar 2,3.9,(825)
Johor,Muar,KFC Muar 1,3.8,(622)
Johor,Muar,KFC K Mart Muar,4.1,(469)
Johor,Muar,KFC Pekan Bukit Pasir Muar,4.0,(696)
Johor,Muar,KFC NSK Muar,3.6,(251)
Johor,Muar,KFC Bandar Universiti Pagoh DT,4.1,(298)
Johor,Muar,KFC Bukit Gambir,4.1,(645)
Johor,Parit Sulong,KFC Parit Sulong,3.9,(303)
Johor,Ayer Hitam,KFC Bandar Baru Ayer Hitam Johor,4.0,(928)
Johor,Sri Gading,KFC Shell Parit Raja,3.9,(600)
Johor,Sri Gading,KFC Batu Pahat DT,3.9,(922)
Johor,Sri Gading,KFC Batu Pahat 1,4.2,(961)
Johor,Sri Gading,KFC AEON Big Batu Pahat,4.2,(333)
