State,Area,Count,Duration
Johor,Segamat,3,43.76
Johor,Sekijang,19,91.85
Johor,Labis,1,27.03
Johor,Pagoh,2,36.02
Johor,Ledang,1,28.89
Johor,Bakri,8,51.27
Johor,Muar,8,51.58
Johor,Parit Sulong,1,28.32
Johor,Ayer Hitam,1,29.78
Johor,Sri Gading,5,46.68
Johor,Batu Pahat,6,48.71
Johor,Simpang Renggam,1,27.21
Johor,Kluang,7,51.72
Johor,Sembrong,24,105.9
Johor,Mersing,3,40.66
Johor,Tenggara,1,27.71
Johor,Kota Tinggi,3,40.03
Johor,Pengerang,10,61.39
Johor,Tebrau,23,99.24
Johor,Pasir Gudang,5,48.89
Johor,Johor Bahru,7,51.99
Johor,Pulai,25,102.95
Johor,Iskandar Puteri,6,49.76
Johor,Kulai,7,49.65
Johor,Pontian,3,43.29
Johor,Tanjung Piai,10,61.26
