author,date,description,source,text,title,url
,2013-07-16T18:58:07Z,See CNN’s Nicolas Sarkozy Fast Facts for a look at the life of the former president of France.,CNN,Sarkozy’s memoir “Le Temps Des Combats” is published.,Nicolas Sarkozy Fast Facts,https://edition.cnn.com/2013/07/16/world/europe/nicolas-sarkozy-fast-facts/index.html
,2013-06-26T01:41:00Z,Read CNN Fast Facts about the life of award-winning actress Vanessa Redgrave.,CNN,Redgrave receives the European Lifetime Achievement Award at the 36th European Film Awards in Berlin.,Vanessa Redgrave Fast Facts,https://edition.cnn.com/2013/06/25/world/europe/vanessa-redgrave-fast-facts/index.html
,2013-07-09T18:53:40Z,Read CNN’s Eurozone Fast Facts and learn more about the common currency zone of the European Union.,CNN,.,Eurozone Fast Facts,https://edition.cnn.com/2013/07/09/world/europe/eurozone-fast-facts/index.html
"Rob Picheta,Antoinette Radford,Thom Poole",2024-01-24T09:59:35Z,"Russia accused Ukraine of downing a military plane near the Ukrainian border Wednesday, saying all 74 people on board were killed including dozens of Ukrainian service members being transported for a prisoner swap.",CNN,Follow us for live updates on this developing story.,Russian military plane crashes near Ukraine border,https://edition.cnn.com/europe/live-news/russia-military-plane-belgorod-ukraine-updates-intl/index.html
author,date,description,source,text,title,url
"Ben Morse,Maureen Chowdhury,Antoinette Radford,Kyle Feldscher,Matt Meyer",2024-02-11T20:32:09Z,"The Kansas City Chiefs face the San Francisco 49ers in Super Bowl LVIII on Sunday. Follow for live updates on the game, Usher’s halftime show, the Super Bowl ads and more.",CNN,will show coverage of the game.,Chiefs beat 49ers in thrilling Super Bowl LVIII,https://edition.cnn.com/sport/live-news/super-bowl-chiefs-49ers-02-11-24/index.html
,2021-03-18T20:43:20Z,"Read CNN’s Fast Facts for information about Russian opposition leader, Kremlin critic and activist Alexey Navalny.",CNN,". His death sparks protests worldwide, with many gathering outside Russian embassies in European capital cities, waving banners reading “Putin is a killer” and “Putin to the Hague.",Alexey Navalny Fast Facts,https://edition.cnn.com/2021/03/18/europe/alexey-navalny-fast-facts/index.html
"Kathleen Magramo,Deva Lee,Jack Guy,Antoinette Radford,Aditi Sangal,Elise Hammond,Maureen Chowdhury,Tori B. Powell",2024-02-20T05:00:48Z,"Russian troops are expected to continue to advance into the eastern town of Avdiivka after Ukrainian forces withdrew, according to a Ukrainian commander. Meanwhile, Ukraine said it repelled Russian attacks toward the southeastern region of Zaporizhzhia.",CNN,,"February 20, 2024 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-02-20-24/index.html
"Christian Edwards,Antoinette Radford,Aditi Sangal,Elise Hammond,Maureen Chowdhury",2024-02-19T10:22:55Z,The Russian flag has been raised in several parts of Avdiivka in the eastern Donetsk region after Ukrainian forces beat a hasty retreat from the town they’ve been defending for a decade.,CNN,,"February 19, 2024 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-02-19-24/index.html
"Sophie Tanno,Karl de Vries,Sana Noor Haq,Zoe Sottile,Michael Williams,Adrienne Vogt,Matt Meyer",2024-02-16T11:57:17Z,"Jailed Russian opposition figure and outspoken Kremlin critic Alexey Navalny, who made global headlines when he was poisoned with a nerve agent in 2020, has died, the Russian prison service said.",CNN,"Jailed Russian opposition figure and outspoken Kremlin critic Alexey Navalny, who made global headlines when he was poisoned with a nerve agent in 2020, has died, the Russian prison service said.","Jailed Kremlin critic Alexey Navalny dies, prison service says",https://edition.cnn.com/europe/live-news/alexey-navalny-dead-russia-prison-02-16-24/index.html
Thomas Lake,2022-11-07T18:09:49Z,"On Saturday, as third-ranked Georgia played top-ranked Tennessee, I took my family to the zoo. In past years I would’ve been on the couch with my brother, eating wings and bellowing at the TV. I texted my brother to say I was sorry.",CNN,"We drove home, and I went to my office to start writing. Through the window I could see it was getting dark. More yellow leaves fell from the pecan trees. The room was so quiet. It was almost 6:30, and I did not know the score, or who was winning, or who, if anyone, was broken.",I’ve been a football fan most of my life. But I can’t watch anymore,https://edition.cnn.com/2022/11/07/sport/football-violence-essay-lake-cec/index.html
,2018-04-16T18:26:44Z,"Read CNN’s Fast Facts about Meghan Markle, Her Royal Highness the Duchess of Sussex, wife of Great Britain’s Prince Harry.",CNN,". Lemonada will also stream “Archetypes,” Meghan’s podcast that debuted in 2022 on Spotify.","Meghan, Duchess of Sussex Fast Facts",https://edition.cnn.com/2018/04/16/europe/meghan-markle-fast-facts/index.html
"Kathleen Magramo,Christian Edwards,Antoinette Radford,Aditi Sangal,Maureen Chowdhury,Tori B. Powell,Elise Hammond",2024-02-21T05:00:30Z,"Discontent toward Russian President Vladimir Putin in Russian society is on the rise, according to his former speechwriter who noted that Russian success in the eastern town of Avdiivka will be a key factor to “suppress this discontent” and “strengthen Putin’s domestic standing” ahead of Russian elections.",CNN,"“I told you we’d be announcing sanctions on Russia — we’ll have a major package announced on Friday,” Biden told reporters.","February 21, 2024 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-02-21-24/index.html
,2013-06-27T18:41:51Z,"Read CNN’s Fast Facts on King Charles III, King of the United Kingdom and other Commonwealth realms.",CNN,"10. Miss Sienna Mapelli Mozzi, daughter of Princess Beatrice (2021)",King Charles III Fast Facts,https://edition.cnn.com/2013/06/27/world/europe/prince-charles-fast-facts/index.html
,2013-11-04T15:32:30Z,"Read CNN’s Fast Facts about the March 2004 bombings of commuter trains in Spain, which killed 193 people and injured more than 1,800.",CNN,Spain’s Supreme Court overturns the lower court’s conviction of the five men convicted in January 2010 for Islamic terrorist activities that included aiding fugitives from the Madrid train bombings and planning other attacks.,Spain Train Bombings Fast Facts,https://edition.cnn.com/2013/11/04/world/europe/spain-train-bombings-fast-facts/index.html
"Kathleen Magramo,Antoinette Radford,Aditi Sangal,Tori B. Powell,Maureen Chowdhury",2024-02-22T05:00:30Z,The Biden administration will impose a fresh slate of sanctions on more than 500 targets on Friday in response to opposition figure Alexey Navalny’s death and just one day before the two-year anniversary of Russia’s invasion.,CNN,.,"February 22, 2024 - Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-02-22-24/index.html
